,Fecha,Día,Temperatura Media
4841,Aug2018,06,0
4842,Aug2018,07,0
4843,Aug2018,08,0
4844,Aug2018,09,0
4845,Aug2018,10,0
4846,Aug2018,11,0
4847,Aug2018,12,0
4848,Aug2018,13,0
4849,Aug2018,14,0
4850,Aug2018,15,0
4851,Aug2018,16,0
4852,Aug2018,17,0
4853,Aug2018,18,0
4854,Aug2018,19,0
4855,Aug2018,20,0
4856,Aug2018,21,0
4857,Aug2018,22,0
4858,Aug2018,23,0
4859,Aug2018,24,0
4860,Aug2018,25,0
4861,Aug2018,26,0
4862,Aug2018,27,0
4863,Aug2018,28,0
4864,Aug2018,29,0
4865,Aug2018,30,0
4867,Sep2018,01,0
4868,Sep2018,02,0
4869,Sep2018,03,0
4870,Sep2018,04,0
4871,Sep2018,05,0
4872,Sep2018,06,0
4873,Sep2018,07,0
4874,Sep2018,08,0
4875,Sep2018,09,0
4876,Sep2018,10,0
4877,Sep2018,11,0
4878,Sep2018,12,0
4879,Sep2018,13,0
4880,Sep2018,14,0
4881,Sep2018,15,0
4882,Sep2018,16,0
4883,Sep2018,17,0
4884,Sep2018,18,0
4885,Sep2018,19,0
4886,Sep2018,20,0
4887,Sep2018,21,0
4888,Sep2018,22,0
4889,Sep2018,23,0
4890,Sep2018,24,0
4891,Sep2018,25,0
4892,Sep2018,26,0
4893,Sep2018,27,0
4894,Sep2018,28,0
4895,Sep2018,29,0
4898,Oct2018,01,0
4899,Oct2018,02,0
4900,Oct2018,03,0
4901,Oct2018,04,0
4902,Oct2018,05,0
4903,Oct2018,06,0
4904,Oct2018,07,0
4905,Oct2018,08,0
4906,Oct2018,09,0
4907,Oct2018,10,0
4908,Oct2018,11,0
4909,Oct2018,12,0
4910,Oct2018,13,0
4911,Oct2018,14,0
4912,Oct2018,15,0
4913,Oct2018,16,0
4914,Oct2018,17,0
4915,Oct2018,18,0
4916,Oct2018,19,0
4917,Oct2018,20,0
4918,Oct2018,21,0
4919,Oct2018,22,0
4920,Oct2018,23,0
4921,Oct2018,24,0
4922,Oct2018,25,0
4923,Oct2018,26,0
4924,Oct2018,27,0
4925,Oct2018,28,0
4926,Oct2018,29,0
4927,Oct2018,30,0
4929,Nov2018,01,0
4930,Nov2018,02,0
4931,Nov2018,03,0
4932,Nov2018,04,0
4933,Nov2018,05,0
4934,Nov2018,06,0
4935,Nov2018,07,0
4936,Nov2018,08,0
4937,Nov2018,09,0
4938,Nov2018,10,0
4939,Nov2018,11,0
4940,Nov2018,12,0
4941,Nov2018,13,0
4942,Nov2018,14,0
4943,Nov2018,15,0
4944,Nov2018,16,0
4945,Nov2018,17,0
4946,Nov2018,18,0
4947,Nov2018,19,0
4948,Nov2018,20,0
4949,Nov2018,21,0
4950,Nov2018,22,0
4951,Nov2018,23,0
4952,Nov2018,24,0
4953,Nov2018,25,0
4954,Nov2018,26,0
4955,Nov2018,27,0
4956,Nov2018,28,0
4957,Nov2018,29,0
4960,Dec2018,01,0
4961,Dec2018,02,0
4962,Dec2018,03,0
4963,Dec2018,04,0
4964,Dec2018,05,0
4965,Dec2018,06,0
4966,Dec2018,07,0
4967,Dec2018,08,0
4968,Dec2018,09,0
4969,Dec2018,10,0
4970,Dec2018,11,0
4971,Dec2018,12,0
4972,Dec2018,13,0
4973,Dec2018,14,0
4974,Dec2018,15,0
4975,Dec2018,16,0
4976,Dec2018,17,0
4977,Dec2018,18,0
4978,Dec2018,19,0
4979,Dec2018,20,0
4980,Dec2018,21,0
4981,Dec2018,22,0
4982,Dec2018,23,0
4983,Dec2018,24,0
4984,Dec2018,25,0
4985,Dec2018,26,0
4986,Dec2018,27,0
4987,Dec2018,28,0
4988,Dec2018,29,0
4989,Dec2018,30,0
4991,Jan2019,01,0
4992,Jan2019,02,0
4993,Jan2019,03,0
4994,Jan2019,04,0
4995,Jan2019,05,0
4996,Jan2019,06,0
4997,Jan2019,07,0
4998,Jan2019,08,0
4999,Jan2019,09,0
5000,Jan2019,10,0
5001,Jan2019,11,0
5002,Jan2019,12,0
5003,Jan2019,13,0
5004,Jan2019,14,0
5005,Jan2019,15,0
5006,Jan2019,16,0
5007,Jan2019,17,0
5008,Jan2019,18,0
5009,Jan2019,19,0
5010,Jan2019,20,0
5011,Jan2019,21,0
5012,Jan2019,22,0
5013,Jan2019,23,0
5014,Jan2019,24,0
5015,Jan2019,25,0
5016,Jan2019,26,0
5017,Jan2019,27,0
5018,Jan2019,28,0
5019,Jan2019,29,0
5020,Jan2019,30,0
5022,Feb2019,01,0
5023,Feb2019,02,0
5024,Feb2019,03,0
5025,Feb2019,04,0
5026,Feb2019,05,0
5027,Feb2019,06,0
5028,Feb2019,07,0
5029,Feb2019,08,0
5030,Feb2019,09,0
5031,Feb2019,10,0
5032,Feb2019,11,0
5033,Feb2019,12,0
5034,Feb2019,13,0
5035,Feb2019,14,0
5036,Feb2019,15,0
5037,Feb2019,16,0
5038,Feb2019,17,0
5039,Feb2019,18,0
5040,Feb2019,19,0
5041,Feb2019,20,0
5042,Feb2019,21,0
5043,Feb2019,22,0
5044,Feb2019,23,0
5045,Feb2019,24,0
5046,Feb2019,25,0
5047,Feb2019,26,0
5048,Feb2019,27,0
5053,Mar2019,01,0
5054,Mar2019,02,0
5055,Mar2019,03,0
5056,Mar2019,04,0
5057,Mar2019,05,0
5058,Mar2019,06,0
5059,Mar2019,07,0
5060,Mar2019,08,0
5061,Mar2019,09,0
5062,Mar2019,10,0
5063,Mar2019,11,0
5064,Mar2019,12,0
5065,Mar2019,13,0
5066,Mar2019,14,0
5067,Mar2019,15,0
5068,Mar2019,16,0
5069,Mar2019,17,0
5070,Mar2019,18,0
5071,Mar2019,19,0
5072,Mar2019,20,0
5073,Mar2019,21,0
5074,Mar2019,22,0
5075,Mar2019,23,0
5076,Mar2019,24,0
5077,Mar2019,25,0
5078,Mar2019,26,0
